epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9118,3.09193,3.97459,4.06918,0.00238,0.59609,0.00327,0.00094,2.70652,3.98889,3.85855,0.0702,0.00331111,0.00331111
2,48.0961,2.9962,3.63046,3.71678,0.01306,0.07492,0.00568,0.00138,2.88454,6.50321,3.67358,0.0401671,0.00661155,0.00661155
3,67.5399,2.73923,3.16827,3.23855,0.12028,0.20847,0.05894,0.01542,2.59986,3.6932,3.16671,0.0101012,0.009879,0.009879
4,86.8027,2.5241,2.82253,2.93886,0.0757,0.25733,0.05276,0.01467,2.45726,3.43593,2.99633,0.0098515,0.0098515,0.0098515
5,105.791,2.29523,2.51558,2.70162,0.27968,0.31997,0.2295,0.07981,2.21162,2.70514,2.7568,0.009802,0.009802,0.009802
6,125.102,2.08749,2.23424,2.48807,0.41113,0.42527,0.38127,0.13741,2.09729,2.27225,2.60795,0.0097525,0.0097525,0.0097525
7,144.992,1.9872,2.02928,2.3755,0.47152,0.50814,0.47338,0.1798,2.00664,2.0771,2.49292,0.009703,0.009703,0.009703
8,166.057,1.92114,1.90781,2.30044,0.55481,0.50489,0.54157,0.23558,1.92336,1.90015,2.38651,0.0096535,0.0096535,0.0096535
9,187.143,1.86698,1.80044,2.24287,0.60383,0.63844,0.62099,0.27415,1.84744,1.639,2.32863,0.009604,0.009604,0.009604
10,207.794,1.82553,1.76341,2.1963,0.61696,0.57655,0.61728,0.26887,1.98432,1.71535,2.4644,0.0095545,0.0095545,0.0095545
11,226.979,1.78906,1.67651,2.15238,0.56263,0.683,0.65804,0.29853,1.75713,1.61935,2.25981,0.009505,0.009505,0.009505
12,245.888,1.75551,1.62028,2.11579,0.58622,0.72915,0.70552,0.33797,1.76684,1.47214,2.23629,0.0094555,0.0094555,0.0094555
13,264.829,1.73833,1.54758,2.08179,0.74795,0.7329,0.78843,0.36482,1.74718,1.34957,2.18162,0.009406,0.009406,0.009406
14,283.83,1.72209,1.48724,2.07528,0.77056,0.76577,0.81738,0.38524,1.77052,1.24862,2.23877,0.0093565,0.0093565,0.0093565
15,302.892,1.69313,1.443,2.05251,0.71368,0.60893,0.70443,0.34473,1.77784,1.48104,2.23957,0.009307,0.009307,0.009307
16,321.93,1.67188,1.41324,2.03482,0.70115,0.7557,0.80126,0.39214,1.72228,1.26906,2.1593,0.0092575,0.0092575,0.0092575
17,340.928,1.66551,1.39554,2.0172,0.80094,0.79479,0.86975,0.43922,1.67871,1.18348,2.12776,0.009208,0.009208,0.009208
18,360.153,1.64839,1.34306,1.99886,0.77378,0.81433,0.84591,0.42836,1.69363,1.20565,2.14948,0.0091585,0.0091585,0.0091585
19,379.049,1.61988,1.32807,1.96967,0.75901,0.82074,0.84928,0.43882,1.68052,1.12931,2.15103,0.009109,0.009109,0.009109
20,397.771,1.61639,1.30522,1.96268,0.80639,0.79153,0.83813,0.44081,1.67233,1.06368,2.12176,0.0090595,0.0090595,0.0090595
21,416.622,1.6005,1.253,1.93861,0.7834,0.78827,0.86762,0.46547,1.62159,1.14015,2.08031,0.00901,0.00901,0.00901
22,435.742,1.58554,1.22975,1.92801,0.73971,0.76221,0.80028,0.40499,1.70528,1.1655,2.156,0.0089605,0.0089605,0.0089605
23,454.747,1.56152,1.22153,1.90193,0.83089,0.79805,0.87441,0.45617,1.64685,1.09656,2.0873,0.008911,0.008911,0.008911
24,473.841,1.54445,1.19577,1.88791,0.85686,0.79153,0.88754,0.46794,1.63917,1.03231,2.09839,0.0088615,0.0088615,0.0088615
25,492.638,1.53035,1.1779,1.87018,0.86373,0.81433,0.91082,0.47733,1.64953,0.98882,2.05922,0.008812,0.008812,0.008812
26,511.662,1.5168,1.14373,1.86658,0.8393,0.90167,0.92463,0.521,1.58248,0.91467,1.99675,0.0087625,0.0087625,0.0087625
27,530.555,1.50217,1.12746,1.85583,0.85717,0.85342,0.90146,0.48211,1.65161,0.97406,2.0813,0.008713,0.008713,0.008713
28,549.49,1.50874,1.12053,1.86406,0.84412,0.8643,0.91342,0.50114,1.58415,0.91879,2.02014,0.0086635,0.0086635,0.0086635
29,568.337,1.48034,1.0836,1.82989,0.85203,0.83713,0.91914,0.5057,1.57683,0.93155,2.00994,0.008614,0.008614,0.008614
30,587.726,1.47787,1.07657,1.81459,0.79639,0.82736,0.88378,0.47257,1.61313,0.95615,2.0736,0.0085645,0.0085645,0.0085645
31,606.923,1.45938,1.05644,1.80196,0.91012,0.86971,0.93296,0.5254,1.54333,0.87308,1.96058,0.008515,0.008515,0.008515
32,626.17,1.4609,1.04655,1.79747,0.86424,0.86645,0.92282,0.52789,1.53483,0.88836,1.94644,0.0084655,0.0084655,0.0084655
33,645.238,1.45479,1.03829,1.78951,0.87877,0.85993,0.93682,0.52841,1.54708,0.82807,1.96736,0.008416,0.008416,0.008416
34,664.41,1.45004,1.02917,1.77546,0.85498,0.90257,0.93182,0.52729,1.54055,0.88943,1.95053,0.0083665,0.0083665,0.0083665
35,684.028,1.44168,1.03555,1.77375,0.88188,0.86319,0.92441,0.53697,1.49461,0.82899,1.91383,0.008317,0.008317,0.008317
36,703.444,1.43397,0.99699,1.76212,0.87944,0.85342,0.92087,0.53223,1.5095,0.85969,1.92348,0.0082675,0.0082675,0.0082675
37,723.771,1.40169,0.97636,1.74584,0.87993,0.85936,0.91938,0.52427,1.52908,0.85542,1.94914,0.008218,0.008218,0.008218
38,742.56,1.40084,0.95819,1.72579,0.90235,0.90296,0.94672,0.5531,1.51582,0.76856,1.91664,0.0081685,0.0081685,0.0081685
39,761.196,1.39084,0.96704,1.72331,0.87596,0.87411,0.93365,0.52818,1.50438,0.80344,1.91978,0.008119,0.008119,0.008119
40,779.866,1.38821,0.94712,1.71987,0.89073,0.87622,0.9346,0.52816,1.51421,0.82863,1.94211,0.0080695,0.0080695,0.0080695
41,798.822,1.37028,0.92029,1.69822,0.85391,0.92508,0.93989,0.54607,1.45793,0.77981,1.87896,0.00802,0.00802,0.00802
42,819.906,1.36931,0.91904,1.70039,0.90622,0.87622,0.94024,0.55982,1.47863,0.77645,1.88701,0.0079705,0.0079705,0.0079705
43,845.879,1.36252,0.90968,1.68398,0.8901,0.89695,0.95298,0.55828,1.44534,0.77364,1.86502,0.007921,0.007921,0.007921
44,865.79,1.35669,0.90414,1.68075,0.91092,0.89931,0.95124,0.56708,1.4899,0.75981,1.8936,0.0078715,0.0078715,0.0078715
45,885.249,1.34397,0.9133,1.67279,0.89454,0.91177,0.94796,0.56365,1.49904,0.76999,1.91507,0.007822,0.007822,0.007822
46,904.385,1.35365,0.88375,1.67518,0.89258,0.89322,0.94156,0.5602,1.47968,0.73463,1.88033,0.0077725,0.0077725,0.0077725
47,923.584,1.32803,0.86964,1.6556,0.88563,0.90808,0.94433,0.5711,1.42591,0.7377,1.84397,0.007723,0.007723,0.007723
48,942.815,1.31745,0.85876,1.64847,0.89267,0.89398,0.94584,0.56521,1.4428,0.73681,1.85957,0.0076735,0.0076735,0.0076735
49,962.503,1.31227,0.87371,1.63986,0.90964,0.88532,0.95421,0.56115,1.45785,0.75028,1.86694,0.007624,0.007624,0.007624
50,982.706,1.319,0.85719,1.64191,0.90783,0.89835,0.96038,0.58601,1.44132,0.7319,1.8294,0.0075745,0.0075745,0.0075745
51,1001.87,1.30859,0.85879,1.62759,0.93102,0.87932,0.95717,0.56558,1.44753,0.72898,1.8535,0.007525,0.007525,0.007525
52,1020.95,1.28529,0.83022,1.61565,0.93863,0.90554,0.96883,0.58205,1.45806,0.69769,1.86726,0.0074755,0.0074755,0.0074755
53,1039.82,1.2795,0.82496,1.60941,0.92409,0.88274,0.95501,0.56417,1.44046,0.75013,1.84706,0.007426,0.007426,0.007426
54,1058.82,1.26714,0.82053,1.60386,0.91316,0.89902,0.94692,0.56962,1.48176,0.75715,1.89281,0.0073765,0.0073765,0.0073765
55,1077.51,1.27362,0.82121,1.60295,0.90821,0.90241,0.9613,0.57647,1.47154,0.70056,1.87723,0.007327,0.007327,0.007327
56,1096.51,1.26228,0.80102,1.60289,0.92739,0.89251,0.96411,0.59676,1.40202,0.69576,1.82137,0.0072775,0.0072775,0.0072775
57,1115.36,1.27134,0.81231,1.60001,0.9258,0.93478,0.96573,0.58179,1.44986,0.68192,1.85433,0.007228,0.007228,0.007228
58,1134.54,1.24027,0.77466,1.57378,0.9155,0.92182,0.95815,0.58997,1.44469,0.67533,1.84712,0.0071785,0.0071785,0.0071785
59,1154.21,1.24834,0.79241,1.57699,0.88804,0.9544,0.96943,0.5858,1.43594,0.68844,1.83689,0.007129,0.007129,0.007129
60,1173.12,1.24243,0.77638,1.57415,0.92568,0.91857,0.96968,0.59394,1.40979,0.67671,1.79882,0.0070795,0.0070795,0.0070795
61,1191.92,1.23475,0.76994,1.5645,0.92646,0.9438,0.97019,0.58901,1.44936,0.66753,1.8499,0.00703,0.00703,0.00703
62,1211.1,1.2301,0.75737,1.56771,0.91681,0.91857,0.95902,0.60426,1.41679,0.65261,1.81518,0.0069805,0.0069805,0.0069805
63,1230.27,1.2295,0.77275,1.56051,0.91639,0.9282,0.96412,0.59943,1.4215,0.65234,1.83755,0.006931,0.006931,0.006931
64,1249.21,1.22295,0.74169,1.55345,0.91063,0.93811,0.97047,0.59027,1.42863,0.67437,1.8063,0.0068815,0.0068815,0.0068815
65,1267.95,1.2097,0.75023,1.54845,0.94454,0.94303,0.96892,0.59119,1.43147,0.65543,1.82083,0.006832,0.006832,0.006832
66,1286.58,1.19812,0.74035,1.53713,0.94106,0.93621,0.97186,0.60308,1.41381,0.62839,1.80496,0.0067825,0.0067825,0.0067825
67,1305.04,1.19934,0.74458,1.53751,0.93987,0.91205,0.97112,0.60563,1.40963,0.64516,1.80607,0.006733,0.006733,0.006733
68,1323.64,1.20559,0.73725,1.5346,0.9351,0.9386,0.96271,0.58887,1.43391,0.66358,1.83914,0.0066835,0.0066835,0.0066835
69,1343.9,1.20136,0.73887,1.53767,0.94662,0.92423,0.96293,0.60531,1.40545,0.61404,1.81721,0.006634,0.006634,0.006634
70,1365.19,1.18424,0.72113,1.51158,0.9308,0.94463,0.96598,0.60041,1.41054,0.65187,1.83997,0.0065845,0.0065845,0.0065845
71,1385.92,1.19118,0.71308,1.52938,0.95145,0.89377,0.96017,0.60195,1.42386,0.65649,1.83915,0.006535,0.006535,0.006535
72,1405.64,1.17084,0.71272,1.50828,0.91927,0.92734,0.96389,0.60624,1.38569,0.62024,1.79833,0.0064855,0.0064855,0.0064855
73,1424.89,1.18146,0.71577,1.5124,0.93672,0.91857,0.9613,0.58811,1.42235,0.61966,1.83602,0.006436,0.006436,0.006436
74,1444.06,1.16413,0.71456,1.50604,0.93082,0.91857,0.97048,0.60609,1.42611,0.62311,1.8251,0.0063865,0.0063865,0.0063865
