epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8927,3.11969,4.01641,4.10841,0.00239,0.68404,0.00302,0.00084,2.73247,4.02132,3.94384,0.0702,0.00331111,0.00331111
2,42.8715,3.06827,3.71067,3.81781,0.03833,0.09121,0.01609,0.00387,2.72869,4.42133,3.6012,0.0401671,0.00661155,0.00661155
3,61.1892,2.88731,3.20377,3.35623,0.04529,0.18241,0.02644,0.00658,2.65945,3.75076,3.4319,0.0101012,0.009879,0.009879
4,79.4925,2.59153,2.86933,3.02277,0.26479,0.22801,0.16728,0.04446,2.43341,2.90494,2.99258,0.0098515,0.0098515,0.0098515
5,97.9298,2.32409,2.52058,2.76678,0.33258,0.32625,0.26486,0.08731,2.27296,2.60974,2.81728,0.009802,0.009802,0.009802
6,116.375,2.13664,2.26066,2.59742,0.46698,0.50225,0.47477,0.18638,2.05263,2.07407,2.62008,0.0097525,0.0097525,0.0097525
7,134.835,2.0192,2.06454,2.47348,0.49959,0.49837,0.46499,0.17683,1.92132,2.10202,2.53944,0.009703,0.009703,0.009703
8,153.145,1.94864,1.92784,2.37699,0.52124,0.54072,0.54224,0.22691,2.0456,1.91318,2.59197,0.0096535,0.0096535,0.0096535
9,171.579,1.88286,1.83088,2.32147,0.5106,0.54723,0.49404,0.182,2.01733,2.07195,2.56916,0.009604,0.009604,0.009604
10,189.839,1.83671,1.79232,2.27257,0.59981,0.56678,0.57901,0.2416,1.89172,1.75549,2.42122,0.0095545,0.0095545,0.0095545
11,208.086,1.79505,1.69905,2.22339,0.67626,0.66124,0.72022,0.32778,1.77057,1.48289,2.29891,0.009505,0.009505,0.009505
12,226.276,1.77287,1.62029,2.1866,0.70263,0.65798,0.73478,0.35052,1.74775,1.46412,2.26911,0.0094555,0.0094555,0.0094555
13,244.512,1.73599,1.55422,2.14409,0.73189,0.73616,0.77755,0.36785,1.75809,1.36304,2.28688,0.009406,0.009406,0.009406
14,263.663,1.72142,1.49371,2.14016,0.75521,0.68404,0.76494,0.34234,1.83587,1.37443,2.36282,0.0093565,0.0093565,0.0093565
15,282.235,1.70705,1.45072,2.11655,0.76593,0.79943,0.82427,0.4209,1.69191,1.21953,2.21521,0.009307,0.009307,0.009307
